,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2018-12-28,656.9500122070312,0.9723,0.02,0.884,0.096,663.3499755859375,663.5,653.2999877929688,4736598.0
2018-12-31,658.9500122070312,0.9866,0.03,0.835,0.135,660.0,662.0,655.7999877929688,3373319.0
2019-01-01,665.0499877929688,0.8065,0.0,0.943,0.057,660.9500122070312,666.2999877929688,654.1500244140625,2943390.0
2019-01-02,669.0499877929688,0.5994,0.011,0.941,0.048,666.0,674.0,662.0499877929688,7416655.0
2019-01-03,669.1500244140625,0.6369,0.0,0.965,0.035,672.0,677.0,663.0999755859375,6827249.0
2019-01-04,661.0499877929688,-0.9525,0.107,0.851,0.042,671.75,673.9000244140625,651.0,7889310.0
2019-01-07,671.7000122070312,0.9908,0.061,0.804,0.135,665.0,673.5999755859375,661.5,8046340.0
2019-01-08,670.0499877929688,0.9978,0.015,0.888,0.097,674.9500122070312,677.4500122070312,668.5499877929688,8621545.0
2019-01-09,676.0999755859375,0.9982,0.014,0.857,0.13,686.2000122070312,689.7999877929688,664.0,18130292.0
2019-01-10,679.7000122070312,0.9933,0.022,0.832,0.146,681.5999755859375,682.0,672.5499877929688,9572493.0
2019-01-11,683.5,1.0,0.027,0.809,0.164,680.2000122070312,685.5,672.5,12281903.0
2019-01-14,701.9000244140625,0.9995,0.021,0.851,0.128,707.0,710.2000122070312,695.9500122070312,19312937.0
2019-01-15,726.5999755859375,0.9953,0.014,0.895,0.09,707.2000122070312,730.0,707.2000122070312,19671304.0
2019-01-16,736.7999877929688,0.9986,0.006,0.883,0.111,729.9000244140625,737.7999877929688,728.5,9658944.0
2019-01-17,733.3499755859375,0.9986,0.018,0.887,0.095,735.7999877929688,739.0,729.0999755859375,6903771.0
2019-01-18,730.9500122070312,0.9929,0.011,0.889,0.1,730.0,736.2000122070312,726.2999877929688,5902151.0
2019-01-21,745.0,0.997,0.009,0.88,0.111,738.2000122070312,751.0,734.0,8129422.0
2019-01-22,745.3499755859375,0.9983,0.006,0.897,0.097,741.25,749.0,734.0,6723375.0
2019-01-23,731.6500244140625,0.9967,0.027,0.881,0.092,742.3499755859375,742.5999755859375,729.2000122070312,7212099.0
2019-01-24,732.0,0.997,0.018,0.866,0.115,728.0999755859375,736.0999755859375,721.0,7429783.0
2019-01-25,730.3499755859375,0.9781,0.008,0.929,0.063,728.0,737.9000244140625,724.25,5543112.0
2019-01-28,727.9500122070312,0.9769,0.028,0.816,0.156,731.0,732.5999755859375,719.0,7944693.0
2019-01-29,727.9000244140625,0.9801,0.013,0.8,0.187,725.5,732.8499755859375,716.5,6760819.0
2019-01-30,725.9000244140625,0.6902,0.014,0.938,0.048,727.9000244140625,734.7999877929688,721.0999755859375,5763026.0
2019-01-31,749.5499877929688,0.9947,0.025,0.857,0.118,726.0,751.2999877929688,726.0,13825233.0
2019-02-01,757.0499877929688,0.9336,0.027,0.871,0.102,751.3499755859375,762.5,744.5,6276585.0
2019-02-04,755.9000244140625,-0.9507,0.058,0.918,0.024,757.0,762.5,749.2000122070312,3945391.0
2019-02-05,754.8499755859375,0.9865,0.022,0.839,0.139,747.0,759.9500122070312,747.0,4694366.0
2019-02-06,763.2999877929688,0.9911,0.024,0.878,0.098,755.5499877929688,766.9500122070312,754.3499755859375,5880482.0
2019-02-07,764.0,0.9911,0.006,0.869,0.125,763.0499877929688,769.4500122070312,761.0,3961797.0
2019-02-08,760.9000244140625,0.9854,0.006,0.903,0.091,760.0,772.25,754.9000244140625,5915169.0
2019-02-11,762.7999877929688,0.9442,0.02,0.894,0.086,766.9000244140625,768.75,759.0,5500216.0
2019-02-12,750.4500122070312,0.9981,0.022,0.841,0.138,760.3499755859375,760.3499755859375,741.0,7310690.0
2019-02-14,740.0499877929688,0.9948,0.008,0.804,0.188,751.0,753.0,737.25,4610535.0
2019-02-15,741.9500122070312,0.9888,0.017,0.85,0.133,742.2999877929688,746.5,732.5999755859375,5586389.0
2019-02-18,741.0499877929688,0.9642,0.017,0.911,0.072,742.3499755859375,747.6500244140625,736.0,5346825.0
2019-02-19,724.2999877929688,0.9348,0.04,0.886,0.074,739.0999755859375,740.5499877929688,721.2999877929688,9401334.0
2019-02-20,740.7000122070312,0.991,0.012,0.88,0.108,727.0,743.0,726.0499877929688,5210675.0
2019-02-21,733.4500122070312,0.9935,0.02,0.856,0.124,738.0,738.0,727.0999755859375,7202786.0
2019-02-22,734.9500122070312,0.3919,0.037,0.916,0.048,732.5,738.2000122070312,728.0,3750833.0
2019-02-25,754.9000244140625,0.9935,0.006,0.88,0.114,735.5499877929688,758.0,735.5499877929688,6547552.0
2019-02-26,742.5,0.9965,0.016,0.85,0.134,748.5999755859375,752.5999755859375,740.1500244140625,8319610.0
2019-02-27,735.25,0.9807,0.038,0.848,0.115,745.0,746.4000244140625,732.75,5936354.0
